,sticker_id,price
391,Наклейка | olofmeister (металлическая) | Атланта 2017,79.69
392,Наклейка | Team LDLC.com (голографическая) | Кёльн 2014,78.83
393,Наклейка | Virtus.pro (металлическая) | Катовице 2015,78.72
394,Наклейка | mousesports (металлическая) | Атланта 2017,78.47
395,Наклейка | GeT_RiGhT (золотая) | Лондон 2018,78.47
396,Наклейка | nitr0 (золотая) | Лондон 2018,77.99
397,Наклейка | Flipsid3 Tactics (металлическая) | Атланта 2017,77.48
398,Наклейка | kennyS (металлическая) | Колумбус 2016,77.0
399,Наклейка | Vox Eminor (голографическая) | Кёльн 2014,75.99
400,Наклейка | DavCost (золотая) | Катовице 2019,74.87
401,Наклейка | allu (золотая) | Катовице 2019,74.44
402,Наклейка | sh1ro (золотая) | Рио 2022,74.09
403,Наклейка | Astralis (металлическая) | Атланта 2017,71.95
404,Наклейка | ALEX (золотая) | Катовице 2019,73.26
405,Наклейка | GuardiaN (металлическая) | Атланта 2017,73.06
406,Наклейка | Edward (золотая) | Лондон 2018,72.61
407,Наклейка | NiKo (металлическая) | Краков 2017,72.5
408,Наклейка | shox (металлическая) | Клуж-Напока 2015,74.88
409,Наклейка | torzsi (золотая) | Рио 2022,72.61
410,Наклейка | Skadoodle (металлическая) | Краков 2017,72.0
411,Наклейка | Stewie2K (золотая) | Катовице 2019,71.78
412,Наклейка | ScreaM (металлическая) | Атланта 2017,71.58
413,Наклейка | device (металлическая) | Краков 2017,71.46
414,Наклейка | Calyx (золотая) | Лондон 2018,71.07
415,Наклейка | flamie (золотая) | Лондон 2018,72.4
416,Наклейка | crush (золотая) | Лондон 2018,69.42
417,Наклейка | k0nfig (золотая) | Лондон 2018,71.18
418,Наклейка | Ninjas in Pyjamas (голографическая) | Катовице 2015,70.8
419,Наклейка | HEN1 (металлическая) | Краков 2017,70.16
420,Наклейка | Keyd Stars (металлическая) | Катовице 2015,70.08
421,Наклейка | DreamHack Winter 2014 (металлическая),69.96
422,Наклейка | Xyp9x (золотая) | Катовице 2019,69.0
423,Наклейка | HS (металлическая) | Краков 2017,68.42
424,Наклейка | paz (золотая) | Лондон 2018,69.5
425,Наклейка | London Conspiracy (голографическая) | Кёльн 2014,67.98
426,Наклейка | shox (металлическая) | Атланта 2017,69.15
427,Наклейка | kioShiMa (металлическая) | Атланта 2017,67.63
428,Наклейка | XANTARES (золотая) | Катовице 2019,67.12
429,Наклейка | shroud (металлическая) | Краков 2017,65.52
430,Наклейка | NBK- (золотая) | Катовице 2019,67.02
431,Наклейка | woxic (золотая) | Лондон 2018,69.95
432,Наклейка | COLDYY1 (золотая) | Катовице 2019,66.56
433,Наклейка | Vox Eminor | Катовице 2015,66.35
434,Наклейка | cajunb (металлическая) | Атланта 2017,65.98
435,Наклейка | arT (золотая) | Рио 2022,65.79
436,Наклейка | es3tag (золотая) | Рио 2022,65.85
437,Наклейка | gob b (золотая) | Катовице 2019,65.52
438,Наклейка | Zeus (золотая) | Лондон 2018,65.36
439,Наклейка | kennyS (металлическая) | Клуж-Напока 2015,65.36
440,Наклейка | somebody (золотая) | Берлин 2019,62.41
441,Наклейка | Team Liquid (голографическая) | Атланта 2017,64.22
442,Наклейка | ScreaM (металлическая) | Бостон 2018,64.14
443,Наклейка | gade (золотая) | Лондон 2018,65.85
444,Наклейка | Hobbit (золотая) | Катовице 2019,64.08
445,Наклейка | tarik (металлическая) | Атланта 2017,63.04
446,Наклейка | LGB eSports | Катовице 2015,64.0
447,Наклейка | Xyp9x (металлическая) | Атланта 2017,64.0
448,Наклейка | WorldEdit (золотая) | Катовице 2019,63.97
449,Наклейка | ANGE1 (золотая) | Катовице 2019,62.41
450,Наклейка | fnx (металлическая) | Бостон 2018,62.25
451,Наклейка | shox (золотая) | Катовице 2019,63.42
452,Наклейка | Outsiders (золотая) | Рио 2022,63.16
453,Наклейка | Team Dignitas (металлическая) | Кёльн 2016,62.95
