,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
42,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: rain (чемпион) | Антверпен 2022, Virtus.Pro | Стокгольм 2021, Virtus.Pro | Стокгольм 2021, Virtus.Pro | Стокгольм 202142",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | rain (чемпион) | Антверпен 2022,Наклейка | Virtus.Pro | Стокгольм 2021,Наклейка | Virtus.Pro | Стокгольм 2021,Наклейка | Virtus.Pro | Стокгольм 2021,1.41
43,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Heroic (блёстки) | Антверпен 2022, Heroic (блёстки) | Антверпен 2022, Heroic (блёстки) | Антверпен 2022, Heroic (блёстки) | Антверпен 202243",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Heroic (блёстки) | Антверпен 2022,Наклейка | Heroic (блёстки) | Антверпен 2022,Наклейка | Heroic (блёстки) | Антверпен 2022,Наклейка | Heroic (блёстки) | Антверпен 2022,1.41
44,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Natus Vincere | Антверпен 2022, Natus Vincere | Антверпен 202244",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Natus Vincere | Антверпен 2022,Наклейка | Natus Vincere | Антверпен 2022,,,1.41
45,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: rain (чемпион) | Антверпен 2022, broky (чемпион) | Антверпен 2022, Twistzz (чемпион) | Антверпен 2022, FaZe Clan | Антверпен 202245",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | rain (чемпион) | Антверпен 2022,Наклейка | broky (чемпион) | Антверпен 2022,Наклейка | Twistzz (чемпион) | Антверпен 2022,Наклейка | FaZe Clan | Антверпен 2022,1.41
46,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: rain (чемпион) | Антверпен 2022, broky (чемпион) | Антверпен 2022, Twistzz (чемпион) | Антверпен 2022, FaZe Clan | Антверпен 202246",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | rain (чемпион) | Антверпен 2022,Наклейка | broky (чемпион) | Антверпен 2022,Наклейка | Twistzz (чемпион) | Антверпен 2022,Наклейка | FaZe Clan | Антверпен 2022,1.41
47,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: FaZe Clan | Антверпен 2022, Renegades | Антверпен 2022, Heroic | Антверпен 2022, FURIA | Антверпен 202247",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | FaZe Clan | Антверпен 2022,Наклейка | Renegades | Антверпен 2022,Наклейка | Heroic | Антверпен 2022,Наклейка | FURIA | Антверпен 2022,1.41
48,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Evil Geniuses | РМР 202048,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Evil Geniuses | РМР 2020,,,,1.41
49,AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: SK Gaming | Бостон 201849,AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | SK Gaming | Бостон 2018,,,,1.44
50,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: ESPADA | РМР 2020, Медаль за заслуги, Evil Geniuses | РМР 202050",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | ESPADA | РМР 2020,Наклейка | Медаль за заслуги,Наклейка | Evil Geniuses | РМР 2020,,1.42
51,"AK-47 | Элитное снаряжение (После полевых испытаний)Наклейка: Ninjas in Pyjamas | Антверпен 2022, Ninjas in Pyjamas | Антверпен 2022, Ninjas in Pyjamas | Антверпен 2022, blameF | Антверпен 202251",AK-47 | Элитное снаряжение (После полевых испытаний),Наклейка | Ninjas in Pyjamas | Антверпен 2022,Наклейка | Ninjas in Pyjamas | Антверпен 2022,Наклейка | Ninjas in Pyjamas | Антверпен 2022,Наклейка | blameF | Антверпен 2022,1.42
