,id,gun_id,sticker1_id,sticker2_id,sticker3_id,sticker4_id,price
101,"AWP | Боец (Немного поношенное)Наклейка: ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019, ENCE (голографическая) | Берлин 2019101",AWP | Боец (Немного поношенное),Наклейка | ENCE (голографическая) | Берлин 2019,Наклейка | ENCE (голографическая) | Берлин 2019,Наклейка | ENCE (голографическая) | Берлин 2019,Наклейка | ENCE (голографическая) | Берлин 2019,69.63
102,AWP | Боец (Немного поношенное)Наклейка: Бдительность (голографическая)102,AWP | Боец (Немного поношенное),Наклейка | Бдительность (голографическая),,,,80.50
103,"AWP | Боец (Немного поношенное)Наклейка: Да здравствует король (голографическая), Да здравствует король (голографическая), Да здравствует король (голографическая), Да здравствует король (голографическая)103",AWP | Боец (Немного поношенное),Наклейка | Да здравствует король (голографическая),Наклейка | Да здравствует король (голографическая),Наклейка | Да здравствует король (голографическая),Наклейка | Да здравствует король (голографическая),82.70
104,"AWP | Боец (Немного поношенное)Наклейка: Спец-тех, Крутые цыпы, SK Gaming | Краков 2017104",AWP | Боец (Немного поношенное),Наклейка | Спец-тех,Наклейка | Крутые цыпы,Наклейка | SK Gaming | Краков 2017,,88.35
105,"AWP | Боец (Немного поношенное)Наклейка: Evil Geniuses (золотая) | РМР 2020, Eternal Fire (золотая) | Антверпен 2022, Renegades (голографическая) | Стокгольм 2021, Copenhagen Flames (голографическая) | Стокгольм 2021105",AWP | Боец (Немного поношенное),Наклейка | Evil Geniuses (золотая) | РМР 2020,Наклейка | Eternal Fire (золотая) | Антверпен 2022,Наклейка | Renegades (голографическая) | Стокгольм 2021,Наклейка | Copenhagen Flames (голографическая) | Стокгольм 2021,86.25
106,"AWP | Боец (Немного поношенное)Наклейка: Virtus.pro (голографическая) | Катовице 2015, Titan | Катовице 2015, DAVEY (металлическая) | Колумбус 2016106",AWP | Боец (Немного поношенное),Наклейка | Virtus.pro (голографическая) | Катовице 2015,Наклейка | Titan | Катовице 2015,Наклейка | DAVEY (металлическая) | Колумбус 2016,,95.17
107,AWP | Боец (Немного поношенное)Наклейка: Virtus.Pro | Кёльн 2015107,AWP | Боец (Немного поношенное),Наклейка | Virtus.Pro | Кёльн 2015,,,,84.72
108,AWP | Боец (Немного поношенное)Наклейка: Virtus.Pro | Кёльн 2015108,AWP | Боец (Немного поношенное),Наклейка | Virtus.Pro | Кёльн 2015,,,,91.79
109,AWP | Боец (Немного поношенное)Наклейка: Natus Vincere (золотая) | РМР 2020109,AWP | Боец (Немного поношенное),Наклейка | Natus Vincere (золотая) | РМР 2020,,,,94.61
110,"AWP | Боец (Немного поношенное)Наклейка: Ninjas in Pyjamas (золотая) | Стокгольм 2021, Ninjas in Pyjamas (золотая) | Стокгольм 2021, Ninjas in Pyjamas (золотая) | Стокгольм 2021, Ninjas in Pyjamas (золотая) | Стокгольм 2021110",AWP | Боец (Немного поношенное),Наклейка | Ninjas in Pyjamas (золотая) | Стокгольм 2021,Наклейка | Ninjas in Pyjamas (золотая) | Стокгольм 2021,Наклейка | Ninjas in Pyjamas (золотая) | Стокгольм 2021,Наклейка | Ninjas in Pyjamas (золотая) | Стокгольм 2021,106.42
111,"AWP | Боец (Немного поношенное)Наклейка: Не волнуйся, я про, Плёвое дело, Из грязи в князи111",AWP | Боец (Немного поношенное),Наклейка | Не волнуйся,Наклейка | я про,Наклейка | Плёвое дело,Наклейка | Из грязи в князи,106.43
112,"AWP | Боец (Немного поношенное)Наклейка: Не волнуйся, я про, Плёвое дело, Из грязи в князи112",AWP | Боец (Немного поношенное),Наклейка | Не волнуйся,Наклейка | я про,Наклейка | Плёвое дело,Наклейка | Из грязи в князи,106.43
113,"AWP | Боец (Немного поношенное)Наклейка: Natus Vincere | Бостон 2018, JW | Кёльн 2016, Team SoloMid | Кёльн 2015113",AWP | Боец (Немного поношенное),Наклейка | Natus Vincere | Бостон 2018,Наклейка | JW | Кёльн 2016,Наклейка | Team SoloMid | Кёльн 2015,,103.68
114,"AWP | Боец (Немного поношенное)Наклейка: Spiidi (металлическая) | Бостон 2018, Древний мародёр, chopper | Бостон 2018, keev (металлическая) | Краков 2017114",AWP | Боец (Немного поношенное),Наклейка | Spiidi (металлическая) | Бостон 2018,Наклейка | Древний мародёр,Наклейка | chopper | Бостон 2018,Наклейка | keev (металлическая) | Краков 2017,121.32
115,"AWP | Боец (Немного поношенное)Наклейка: ZywOo (голографическая) | Стокгольм 2021, Team Liquid | Кёльн 2016, device | Бостон 2018, device (золотая) | Бостон 2018115",AWP | Боец (Немного поношенное),Наклейка | ZywOo (голографическая) | Стокгольм 2021,Наклейка | Team Liquid | Кёльн 2016,Наклейка | device | Бостон 2018,Наклейка | device (золотая) | Бостон 2018,105.31
